Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,Volume,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,EPS Q/Q,Inst Own,Inst Trans,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Stage,VCP,_10pct_excluded,_10pct_exclude_reasons,Quality Score,RS Rating
AAON,1,Growth,AAON Inc,Industrials,Building Products & Equipment,USA,10.99B,134.12,6.688563750373246,-25.82,28.27,-10.093959731543622,0.54,1040000.0,18.81,38.3,45.47,36.23,88.84,-2.42,36.84,30.98,42.45,25.96,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 18.8, 'sma50': 38.3, 'sma200': 45.5}","{'vcp_possible': True, 'confidence': 70, 'signals': ['volume dry-up RVol 0.5x', 'tight pullback -10% from high', 'holding above 20-day MA'], 'reason': 'volume dry-up RVol 0.5x · tight pullback -10% from high · holding above 20-day MA'}",False,,82.0,36
ADI,1,Growth,Analog Devices Inc,Technology,Semiconductors,USA,205.51B,420.95,2.9075287192632677,74.58,25.91,-3.3048746901680026,1.45,3690000.0,3.37,16.88,44.19,115.34,89.82,-1.23,10.57,21.64,79.37,87.64,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 3.4, 'sma50': 16.9, 'sma200': 44.2}","{'vcp_possible': True, 'confidence': 70, 'signals': ['tight range ATR 2.9%', 'tight pullback -3% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 2.9% · tight pullback -3% from high · holding above 20-day MA'}",False,,101.0,55
AHR,1,IPO,American Healthcare REIT Inc,Real Estate,REIT - Healthcare Facilities,USA,9.79B,50.30,2.8031809145129225,318.17,12.22,-7.99341503566856,0.35,2470000.0,0.04,1.03,7.09,390.78,100.03,21.34,0.19,-3.76,4.11,42.71,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 0.0, 'sma50': 1.0, 'sma200': 7.1}","{'vcp_possible': True, 'confidence': 100, 'signals': ['tight range ATR 2.8%', 'volume dry-up RVol 0.3x', 'tight pullback -8% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 2.8% · volume dry-up RVol 0.3x · tight pullback -8% from high · holding above 20-day MA'}",False,,94.0,19
AMD,1,Growth,Advanced Micro Devices Inc,Technology,Semiconductors,USA,688.80B,422.42,5.744550344437106,123.87,34.97,-9.660919417744719,1.1,38770000.0,9.82,47.07,87.0,92.25,68.7,1.88,54.17,111.81,71.74,269.43,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 9.8, 'sma50': 47.1, 'sma200': 87.0}","{'vcp_possible': True, 'confidence': 55, 'signals': ['moderate tightness ATR 5.7%', 'tight pullback -10% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.7% · tight pullback -10% from high · holding above 20-day MA'}",False,,105.0,81
AMN,1,Growth,AMN Healthcare Services Inc,Healthcare,Medical Care Facilities,USA,1.09B,27.98,5.72655690765927,79.93,19.87,-11.721958925750386,0.56,1160000.0,14.76,32.2,45.52,5676.14,111.7,-1.29,36.56,63.58,75.83,24.62,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 14.8, 'sma50': 32.2, 'sma200': 45.5}","{'vcp_possible': True, 'confidence': 85, 'signals': ['moderate tightness ATR 5.7%', 'volume dry-up RVol 0.6x', 'tight pullback -12% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.7% · volume dry-up RVol 0.6x · tight pullback -12% from high · holding above 20-day MA'}",False,,77.0,53
BKKT,1,Power Move,Bakkt Inc,Technology,Software - Infrastructure,USA,467.98M,"5,393,823",8.57959961868446,-44.3,-58.96,-78.93151235187788,6.42,1370000.0,17.97,20.98,-27.58,-134.78,21.02,4.57,16.95,1.25,-42.2,-20.41,"{'stage': 4, 'badge': '⚫ Stage 4', 'perfect': False, 'sma20': 18.0, 'sma50': 21.0, 'sma200': -27.6}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,5.0,2
BKSY,1,52 Week High,BlackSky Technology Inc,Industrials,Specialty Business Services,USA,1.66B,44.75,10.391061452513966,1.81,-8.93,0.11185682326622093,1.19,1970000.0,18.29,36.89,88.74,-97.33,61.46,-4.04,19.58,103.12,239.25,280.18,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 18.3, 'sma50': 36.9, 'sma200': 88.7}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,49.0,86
CART,1,IPO,Maplebear Inc,Consumer Cyclical,Internet Retail,USA,9.72B,41.37,4.858593183466279,14.91,11.84,-22.672897196261687,0.79,4170000.0,0.16,3.84,1.27,51.33,69.34,-9.33,-6.0,13.93,0.78,-9.95,"{'stage': 1, 'badge': '🔵 Stage 1', 'perfect': False, 'sma20': 0.2, 'sma50': 3.8, 'sma200': 1.3}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,21.0,15
CBRS,1,10% Change,Cerebras Systems Inc,Technology,Semiconductors,USA,69.69B,"7,380,831",15.537750385208012,149.38,75.71,-16.006626287725833,0.6,20260000.0,7.1,7.1,7.1,75.76,0.0,0.0,0.0,0.0,0.0,0.0,"{'stage': 1, 'badge': '🔵 Stage 1', 'perfect': False, 'sma20': 7.1, 'sma50': 7.1, 'sma200': 7.1}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",True,RVol 0.6x < 1.5x,40.0,8
CGNX,1,Growth,Cognex Corp,Technology,Scientific & Technical Instruments,USA,10.26B,61.64,4.49821370574862,23.79,13.81,-14.353268428372745,0.57,2190000.0,3.01,12.64,34.14,121.73,102.94,1.81,10.99,8.56,67.46,98.69,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 3.0, 'sma50': 12.6, 'sma200': 34.1}","{'vcp_possible': True, 'confidence': 85, 'signals': ['moderate tightness ATR 4.5%', 'volume dry-up RVol 0.6x', 'tight pullback -14% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.5% · volume dry-up RVol 0.6x · tight pullback -14% from high · holding above 20-day MA'}",False,,92.0,51
CIEN,1,Growth,CIENA Corp,Technology,Communication Equipment,USA,76.32B,539.76,,,,,,,,,,,,,,,,,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': nan, 'sma50': nan, 'sma200': nan}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,27.0,9
COCO,1,Growth,Vita Coco Company Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA,4.41B,77.22,4.067884440989766,36.53,23.05,-3.1493099121706503,0.68,1500000.0,16.61,34.21,56.77,60.07,88.62,11.88,62.61,54.19,76.03,113.7,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 16.6, 'sma50': 34.2, 'sma200': 56.8}","{'vcp_possible': True, 'confidence': 85, 'signals': ['moderate tightness ATR 4.1%', 'volume dry-up RVol 0.7x', 'tight pullback -3% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.1% · volume dry-up RVol 0.7x · tight pullback -3% from high · holding above 20-day MA'}",False,,84.0,65
COHR,1,Growth,Coherent Corp,Technology,Scientific & Technical Instruments,USA,70.23B,358.98,7.621433542101601,1103.17,18.0,-13.014527845036316,0.79,7610000.0,3.6,18.67,85.16,990.95,88.17,-9.19,3.38,60.46,157.84,352.57,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 3.6, 'sma50': 18.7, 'sma200': 85.2}","{'vcp_possible': True, 'confidence': 70, 'signals': ['volume dry-up RVol 0.8x', 'tight pullback -13% from high', 'holding above 20-day MA'], 'reason': 'volume dry-up RVol 0.8x · tight pullback -13% from high · holding above 20-day MA'}",False,,99.0,84
CORZ,1,IPO,Core Scientific Inc,Technology,Software - Infrastructure,USA,7.37B,23.18,6.4279551337359795,80.24,-13.67,-7.906237584425913,0.89,13790000.0,4.74,21.42,33.63,-185.84,113.39,15.72,16.68,34.25,55.29,113.69,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 4.7, 'sma50': 21.4, 'sma200': 33.6}","{'vcp_possible': True, 'confidence': 55, 'signals': ['below-avg volume RVol 0.9x', 'tight pullback -8% from high', 'holding above 20-day MA'], 'reason': 'below-avg volume RVol 0.9x · tight pullback -8% from high · holding above 20-day MA'}",False,,86.0,58
CRDO,1,10% Change,Credo Technology Group Holding Ltd,Technology,Semiconductors,Cayman Islands,31.39B,"5,194,340",,,,,,,,,,,,,,,,,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': nan, 'sma50': nan, 'sma200': nan}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,22.0,10
CXW,1,Growth,CoreCivic Inc,Industrials,Security & Protection Services,USA,2.07B,20.96,3.908484270734032,62.08,19.89,-9.568965517241379,0.19,1180000.0,2.26,4.94,8.72,66.39,87.75,-4.58,1.75,13.04,22.05,-7.62,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 2.3, 'sma50': 4.9, 'sma200': 8.7}","{'vcp_possible': True, 'confidence': 100, 'signals': ['tight range ATR 3.9%', 'volume dry-up RVol 0.2x', 'tight pullback -10% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.9% · volume dry-up RVol 0.2x · tight pullback -10% from high · holding above 20-day MA'}",False,,78.0,17
DBRG,1,52 Week High,DigitalBridge Group Inc,Financial,Asset Management,USA,2.95B,15.69,0.25493945188017847,52.29,-15.9,0.06377551020408934,0.55,3190000.0,0.51,1.13,16.04,635.19,98.7,-4.51,0.67,1.85,63.49,35.42,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 0.5, 'sma50': 1.1, 'sma200': 16.0}","{'vcp_possible': True, 'confidence': 75, 'signals': ['tight range ATR 0.3%', 'volume dry-up RVol 0.6x', 'holding above 20-day MA'], 'reason': 'tight range ATR 0.3% · volume dry-up RVol 0.6x · holding above 20-day MA'}",False,,84.0,34
DELL,1,Growth,Dell Technologies Inc,Technology,Computer Hardware,USA,156.13B,239.32,5.2952731224140095,39.59,19.12,-9.363991060267429,0.42,8180000.0,5.31,23.22,61.37,56.74,39.32,4.67,17.15,104.89,78.88,109.37,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 5.3, 'sma50': 23.2, 'sma200': 61.4}","{'vcp_possible': True, 'confidence': 85, 'signals': ['moderate tightness ATR 5.3%', 'volume dry-up RVol 0.4x', 'tight pullback -9% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.3% · volume dry-up RVol 0.4x · tight pullback -9% from high · holding above 20-day MA'}",False,,99.0,73
EDSA,1,Power Move,Edesa Biotech Inc,Healthcare,Biotechnology,Canada,103.73M,"879,170",19.81132075471698,16.07,0.0,-42.618110236220474,0.31,4640000.0,-13.8,27.5,207.55,-64.74,52.85,7.81,72.81,1075.31,568.48,480.35,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': False, 'sma20': -13.8, 'sma50': 27.5, 'sma200': 207.6}","{'vcp_possible': False, 'confidence': 30, 'signals': ['volume dry-up RVol 0.3x'], 'reason': 'volume dry-up RVol 0.3x'}",False,,42.0,97
EFC,1,Growth,Ellington Financial Inc,Real Estate,REIT - Mortgage,USA,1.68B,13.39,1.5695067264573992,19.55,33.43,-5.2407932011331315,0.44,1680000.0,0.56,6.27,1.47,129.36,53.69,1.99,2.64,5.81,-2.58,2.1,"{'stage': 1, 'badge': '🔵 Stage 1', 'perfect': False, 'sma20': 0.6, 'sma50': 6.3, 'sma200': 1.5}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,15.0,15
ETOR,1,IPO,Etoro Group Ltd,Financial,Capital Markets,Israel,3.23B,40.60,4.113300492610837,20.38,12.56,-49.22461230615307,0.53,1260000.0,6.0,18.22,8.47,17.96,31.17,11.9,4.27,27.53,0.26,-35.84,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 6.0, 'sma50': 18.2, 'sma200': 8.5}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,38.0,13
